IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
1011174,1920,Eddie Rommel,PHA,22,7,7,2.2,2.85,33,12,8,2,1,,173.2,708,165,68,55,5,43,,4,1,1,43,,,,,,,,,,,,2.23,2.23,1.0,8.55,0.26,0.25,1.2,0.261,0.7020000000000001,3.44,,,,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,91,,0.061,0.061,,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,1.7,0.3,2.0,22 - 22,0.0,,,,,,,3.51,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,72,105.0,88,86,90,84,88,107.0,79,75,,,,,,,,,,,,,,,,,,0,,,
1011683,1920,Jack Scott,BSN,28,10,21,2.1,3.53,44,32,22,3,1,,291.0,1243,308,148,114,6,85,,13,9,0,94,,,,,,,,,,,,2.91,2.63,1.11,9.53,0.19,0.269,1.35,0.289,0.649,3.38,,,,,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,107,,0.076,0.068,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.8,-1.3,-2.1,28 - 28,0.006999999999999999,,,,,,,3.43,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,109,92.0,105,89,103,105,103,95.0,97,106,,,,,,,,,,,,,,,,,,0,,,
1007532,1920,Dutch Leonard,DET,28,10,17,2.1,4.33,28,27,10,3,0,,191.1,781,192,107,92,8,63,,8,13,0,76,,,,,,,,,,,,3.57,2.96,1.21,9.03,0.38,0.27,1.33,0.294,0.62,3.61,,,,,,,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,100,,0.09699999999999999,0.081,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.1,-0.8,-0.7,28 - 28,0.017,,,,,,,3.31,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,95,126.0,93,125,97,94,99,95.0,126,100,,,,,,,,,,,,,,,,,,0,,,
1005638,1920,Claude Hendrix,CHC,31,9,12,2.1,3.58,27,23,12,0,0,,203.2,872,216,101,81,6,54,,3,4,0,72,,,,,,,,,,,,3.18,2.39,1.33,9.54,0.27,0.265,1.33,0.285,0.65,3.26,,,,,,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,100,,0.083,0.062,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.3,-1.2,-1.5,31 - 31,0.021,,,,,,,3.27,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,99,111.0,105,127,102,103,102,95.0,106,96,,,,,,,,,,,,,,,,,,0,,,
1006740,1920,Dave Keefe,PHA,23,6,7,2.1,2.97,31,13,7,1,0,,130.1,537,129,60,43,2,30,,6,1,1,41,,,,,,,,,,,,2.83,2.07,1.37,8.91,0.14,0.257,1.22,0.277,0.647,3.15,,,,,,,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,84,,0.076,0.055999999999999994,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.7,-0.5,0.1,23 - 23,0.02,,,,,,,3.27,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,67,143.0,92,46,93,86,94,99.0,99,69,,,,,,,,,,,,,,,,,,0,,,
1003436,1920,Phil Douglas,NYG,30,14,10,2.0,2.71,46,21,10,3,2,,226.0,934,225,84,68,6,55,,2,4,0,71,,,,,,,,,,,,2.83,2.19,1.29,8.96,0.24,0.257,1.24,0.274,0.7240000000000001,3.22,,,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,100,,0.076,0.059000000000000004,,,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.4,1.0,1.4,30 - 30,0.017,,,,,,,3.31,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,91,107.0,98,114,98,97,98,106.0,98,91,,,,,,,,,,,,,,,,,,0,,,
1013737,1920,Carl Weilman,SLB,30,9,13,2.0,4.47,30,24,13,1,2,,183.1,772,201,103,91,6,61,,3,2,2,45,,,,,,,,,,,,2.21,2.99,0.74,9.87,0.29,0.284,1.43,0.297,0.631,3.73,,,,,,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,99,,0.057999999999999996,0.079,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.0,-0.4,-0.4,30 - 30,-0.021,,,,,,,3.76,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,96,77.0,102,98,102,100,100,97.0,75,98,,,,,,,,,,,,,,,,,,0,,,
1003707,1920,Howard Ehmke,DET,26,15,18,1.8,3.25,38,33,23,2,3,,268.1,1140,250,133,97,8,124,,13,0,2,98,,,,,,,,,,,,3.29,4.16,0.79,8.39,0.27,0.249,1.39,0.27,0.6759999999999999,3.94,,,,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,109,,0.086,0.109,,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.9,-0.1,1.7,26 - 26,-0.023,,,,,,,3.79,0.20199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,134,83.0,86,89,90,98,91,103.0,111,134,,,,,,,,,,,,,,,,,,0,,,
1003729,1920,Hod Eller,CIN,25,13,12,1.8,2.95,35,22,15,1,0,,210.1,864,208,79,69,6,52,,5,3,0,76,,,,,,,,,,,,3.25,2.23,1.46,8.9,0.26,0.258,1.24,0.279,0.725,3.21,,,,,,,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,102,,0.08800000000000001,0.06,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.1,1.1,1.2,25 - 25,0.027999999999999997,,,,,,,3.18,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,92,121.0,98,123,99,96,100,106.0,113,94,,,,,,,,,,,,,,,,,,0,,,
1000857,1920,Rube Benton,NYG,30,9,16,1.8,3.03,33,25,12,4,2,,193.1,821,222,82,65,8,31,,3,5,0,52,,,,,,,,,,,,2.42,1.44,1.68,10.33,0.37,0.282,1.31,0.294,0.711,3.28,,,,,,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,101,,0.063,0.038,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-0.9,1.1,0.1,30 - 30,0.026000000000000002,,,,,,,3.21,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,60,139.0,113,178,108,102,105,104.0,82,59,,,,,,,,,,,,,,,,,,0,,,
1011869,1920,Bill Sherdel,STL,23,11,10,1.7,3.28,43,7,4,0,6,,170.0,697,183,72,62,1,40,,11,1,0,74,,,,,,,,,,,,3.92,2.12,1.85,9.69,0.05,0.283,1.31,0.319,0.696,2.86,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,88,,0.106,0.057,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.9,1.2,-0.7,23 - 23,0.049,,,,,,,2.93,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,88,154.0,106,25,109,102,114,102.0,137,89,,,,,,,,,,,,,,,,,,0,,,
1010972,1920,Jimmy Ring,CIN,25,17,16,1.6,3.54,42,33,18,1,1,,266.2,1117,268,134,105,4,92,,5,8,2,73,,,,,,,,,,,,2.46,3.1,0.79,9.04,0.13,0.263,1.35,0.28,0.643,3.49,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,111,,0.065,0.08199999999999999,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,-1.4,-1.4,25 - 25,-0.017,,,,,,,3.72,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,128,66.0,99,65,101,105,100,94.0,84,128,,,,,,,,,,,,,,,,,,0,,,
1007843,1920,Dolf Luque,CIN,29,13,9,1.6,2.51,37,23,10,1,1,,207.2,825,168,65,58,5,60,,4,2,0,72,,,,,,,,,,,,3.12,2.6,1.2,7.28,0.22,0.221,1.1,0.238,0.742,3.29,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,104,,0.087,0.073,,,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,2.6,0.5,3.0,29 - 29,0.015,,,,,,,3.34,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107,100.0,80,104,85,86,85,109.0,113,113,,,,,,,,,,,,,,,,,,0,,,
1012205,1920,Sherry Smith,BRO,29,11,9,1.6,1.85,33,12,6,2,3,,136.1,552,134,42,28,1,27,,2,1,0,33,,,,,,,,,,,,2.18,1.78,1.22,8.85,0.07,0.256,1.18,0.272,0.7490000000000001,3.0,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,91,,0.06,0.049,,,-1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.3,1.2,1.5,29 - 29,0.011000000000000001,,,,,,,3.38,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,74,101.0,97,32,98,92,97,110.0,77,76,,,,,,,,,,,,,,,,,,0,,,
1013252,1920,Lefty Tyler,CHC,30,11,12,1.6,3.31,27,27,18,2,0,,193.0,803,193,83,71,6,57,,3,2,0,57,,,,,,,,,,,,2.66,2.66,1.0,9.0,0.28,0.26,1.3,0.275,0.695,3.5,,,,,,,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,107,,0.071,0.071,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.3,0.2,0.5,30 - 30,0.0,,,,,,,3.51,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,110,83.0,99,134,100,101,98,102.0,92,110,,,,,,,,,,,,,,,,,,0,,,
1011824,1920,Jim Shaw,WAS,26,11,18,1.6,4.27,38,32,17,0,1,,236.1,1005,285,127,112,12,87,,4,13,0,88,,,,,,,,,,,,3.35,3.31,1.01,10.85,0.46,0.312,1.57,0.335,0.693,3.82,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,109,,0.08800000000000001,0.087,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,-2.5,2.7,0.2,26 - 26,0.001,,,,,,,3.5,0.18600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,107,106.0,112,152,112,111,113,106.0,113,107,,,,,,,,,,,,,,,,,,0,,,
1004045,1920,Dana Fillingim,BSN,26,12,21,1.5,3.11,37,30,22,2,0,,272.0,1145,292,123,94,8,79,,3,3,0,66,,,,,,,,,,,,2.18,2.61,0.84,9.66,0.26,0.275,1.36,0.287,0.6920000000000001,3.55,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,113,,0.057999999999999996,0.069,,,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,-0.6,0.9,0.2,26 - 26,-0.011000000000000001,,,,,,,3.65,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,108,69.0,106,126,105,106,103,101.0,74,107,,,,,,,,,,,,,,,,,,0,,,
1008685,1920,Hugh McQuillan,BSN,24,11,15,1.5,3.55,38,27,17,1,5,,225.2,950,230,110,89,3,70,,2,4,1,53,,,,,,,,,,,,2.11,2.79,0.76,9.17,0.12,0.262,1.33,0.276,0.645,3.41,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,108,,0.055999999999999994,0.07400000000000001,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,-1.3,-1.1,24 - 24,-0.018000000000000002,,,,,,,3.73,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,115,63.0,101,57,100,104,99,94.0,72,114,,,,,,,,,,,,,,,,,,0,,,
1009762,1920,Red Oldham,DET,26,8,13,1.5,3.85,39,22,10,1,1,,215.1,929,248,132,92,5,91,,6,6,1,62,,,,,,,,,,,,2.59,3.8,0.68,10.37,0.21,0.298,1.57,0.318,0.63,3.83,,,,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,106,,0.067,0.098,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-1.2,-0.1,-1.3,26 - 26,-0.031,,,,,,,3.89,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,123,71.0,107,69,107,111,107,96.0,86,121,,,,,,,,,,,,,,,,,,0,,,
1004095,1920,Ray Fisher,CIN,32,10,11,1.4,2.73,33,22,10,1,1,,201.0,846,189,86,61,5,50,,8,1,0,56,,,,,,,,,,,,2.51,2.24,1.12,8.46,0.22,0.24,1.19,0.253,0.6709999999999999,3.38,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,107,,0.066,0.059000000000000004,,,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,-1.4,0.3,32 - 32,0.006999999999999999,,,,,,,3.43,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,93,93.0,93,107,92,93,90,98.0,85,92,,,,,,,,,,,,,,,,,,0,,,
1003045,1920,Dixie Davis,SLB,29,18,12,1.3,3.17,38,31,22,0,0,,269.1,1167,250,117,95,10,149,,7,1,0,85,,,,,,,,,,,,2.84,4.98,0.57,8.35,0.33,0.247,1.48,0.262,0.737,4.34,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,115,,0.073,0.128,,,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,2.4,2.2,4.5,29 - 29,-0.055,,,,,,,4.17,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,160,60.0,86,111,89,104,88,113.0,94,158,,,,,,,,,,,,,,,,,,0,,,
1011649,1920,Ferdie Schupp,STL,29,16,13,1.3,3.52,38,37,17,0,0,,250.2,1096,246,118,98,5,127,,9,5,1,119,,,,,,,,,,,,4.27,4.56,0.94,8.83,0.18,0.256,1.49,0.288,0.7040000000000001,3.69,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,115,,0.109,0.11599999999999999,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,-0.6,0.7,0.1,29 - 29,-0.006999999999999999,,,,,,,3.6,0.22899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,189,78.0,97,86,98,116,103,103.0,140,180,,,,,,,,,,,,,,,,,,0,,,
1006122,1920,Bill Hubbell,- - -,23,9,10,1.3,3.55,38,20,9,1,4,,180.0,790,202,89,71,5,57,,5,4,3,34,,,,,,,,,,,,1.7,2.85,0.6,10.1,0.25,0.277,1.44,0.286,0.6809999999999999,3.77,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,107,,0.043,0.07200000000000001,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,-0.3,0.1,-0.2,23 - 23,-0.028999999999999998,,,,,,,3.86,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,118,49.0,111,119,106,112,102,100.0,55,112,,,,,,,,,,,,,,,,,,0,,,
1013035,1920,Hank Thormahlen,NYY,23,9,6,1.3,4.14,29,15,6,0,1,,143.1,621,178,86,66,5,43,,2,1,0,35,,,,,,,,,,,,2.2,2.7,0.81,11.18,0.31,0.309,1.54,0.323,0.634,3.66,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,101,,0.055999999999999994,0.069,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-1.1,0.1,-1.0,23 - 23,-0.013000000000000001,,,,,,,3.67,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,87,85.0,115,104,111,108,109,97.0,73,86,,,,,,,,,,,,,,,,,,0,,,
1011310,1920,Allan Russell,BOS,26,5,6,1.3,3.01,16,10,7,0,1,,107.2,439,100,44,36,3,38,,3,4,0,53,,,,,,,,,,,,4.43,3.18,1.39,8.36,0.25,0.251,1.28,0.284,0.7090000000000001,3.27,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,95,,0.121,0.087,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.4,0.5,0.9,26 - 26,0.034,,,,,,,3.1,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,102,146.0,86,83,91,90,96,108.0,156,107,,,,,,,,,,,,,,,,,,0,,,
